order_id,customer_id,product_id,order_date,quantity,discount_percent,revenue,profit,city
1,518,1006,2024-04-13,2,5,10812.9,1668.9,Mumbai
2,261,1017,2025-10-05,3,15,5408.55,1388.55,Hyderabad
3,607,1005,2025-12-19,4,0,269284.0,117080.0,Pune
4,572,1015,2024-08-24,1,5,2819.6,1135.6,Pune
5,5,1014,2025-06-25,2,10,6544.8,1352.8,Bengaluru
6,281,1014,2025-06-25,4,0,14544.0,4160.0,Chennai
7,750,1014,2024-06-09,2,0,7272.0,2080.0,Pune
8,494,1016,2024-03-05,1,0,680.0,129.0,Hyderabad
9,538,1007,2024-02-22,3,0,16173.0,2946.0,Ahmedabad
10,764,1007,2024-09-04,4,20,17251.2,-384.8,Bengaluru
11,651,1005,2024-12-01,2,15,114445.7,38343.7,Mumbai
12,114,1010,2024-05-09,1,0,2638.0,1088.0,Chennai
13,38,1003,2024-04-23,4,5,141717.2,41173.2,Delhi
14,677,1003,2024-12-26,4,0,149176.0,48632.0,Kolkata
15,209,1012,2025-05-14,3,10,7597.8,1546.8,Hyderabad
16,220,1010,2025-03-26,3,5,7518.3,2868.3,Pune
17,141,1016,2024-11-27,4,15,2312.0,108.0,Kolkata
18,436,1016,2024-02-10,4,0,2720.0,516.0,Delhi
19,13,1003,2025-06-05,4,10,134258.4,33714.4,Mumbai
20,132,1017,2025-08-16,2,10,3817.8,1137.8,Mumbai
21,667,1011,2025-03-24,4,0,4220.0,1636.0,Mumbai
22,53,1013,2025-08-28,2,15,13283.8,539.8,Mumbai
23,65,1014,2025-03-13,2,10,6544.8,1352.8,Ahmedabad
24,181,1014,2025-09-01,4,10,13089.6,2705.6,Hyderabad
25,174,1006,2024-01-04,1,0,5691.0,1119.0,Mumbai
26,594,1001,2024-07-28,2,15,27021.5,1377.5,Chennai
27,494,1011,2024-07-25,2,20,1688.0,396.0,Hyderabad
28,463,1014,2025-01-26,2,0,7272.0,2080.0,Ahmedabad
29,506,1004,2024-07-26,1,0,44231.0,18198.0,Bengaluru
30,539,1012,2025-06-13,2,15,4783.8,749.8,Pune
31,730,1012,2025-05-10,2,5,5346.6,1312.6,Delhi
32,508,1004,2024-08-08,3,0,132693.0,54594.0,Chennai
33,243,1003,2025-08-24,3,5,106287.9,30879.9,Chennai
34,436,1007,2025-02-24,2,20,8625.6,-192.4,Delhi
35,124,1001,2024-05-07,1,5,15100.25,2278.25,Bengaluru
36,39,1007,2024-06-11,2,0,10782.0,1964.0,Pune
37,225,1012,2025-10-18,2,5,5346.6,1312.6,Bengaluru
38,226,1003,2025-05-09,4,0,149176.0,48632.0,Hyderabad
39,61,1011,2024-01-30,4,15,3587.0,1003.0,Delhi
40,633,1020,2025-04-12,1,5,3889.3,1446.3,Kolkata
41,425,1001,2025-02-20,1,5,15100.25,2278.25,Bengaluru
42,250,1015,2025-07-12,3,5,8458.8,3406.8,Mumbai
43,648,1019,2024-06-23,4,15,24408.6,7668.6,Mumbai
44,623,1009,2024-08-19,2,0,9846.0,4370.0,Bengaluru
45,86,1010,2025-07-28,1,0,2638.0,1088.0,Delhi
46,602,1018,2024-08-16,4,5,27059.8,6131.8,Delhi
47,783,1013,2024-07-03,3,0,23442.0,4326.0,Bengaluru
48,463,1014,2025-07-06,3,20,8726.4,938.4,Ahmedabad
49,352,1011,2025-01-12,3,0,3165.0,1227.0,Pune
50,550,1011,2025-06-23,2,0,2110.0,818.0,Delhi
51,169,1015,2024-04-05,4,10,10684.8,3948.8,Mumbai
52,658,1012,2024-11-24,1,5,2673.3,656.3,Chennai
53,159,1020,2025-09-14,3,15,10439.7,3110.7,Hyderabad
54,392,1018,2025-02-12,4,0,28484.0,7556.0,Ahmedabad
55,425,1001,2024-12-09,3,0,47685.0,9219.0,Bengaluru
56,32,1019,2025-10-01,3,5,20460.15,7905.15,Kolkata
57,261,1002,2025-05-20,4,15,186952.4,39508.4,Hyderabad
58,194,1017,2025-05-09,4,5,8059.8,2699.8,Kolkata
59,317,1014,2024-06-29,1,10,3272.4,676.4,Kolkata
60,508,1006,2024-10-28,2,10,10243.8,1099.8,Chennai
