order_id,payment_method,payment_status
1,Net Banking,Success
2,COD,Success
3,UPI,Success
4,Credit Card,Success
5,Net Banking,Success
6,Net Banking,Success
7,UPI,Success
8,Credit Card,Success
9,Net Banking,Success
10,Net Banking,Success
11,Net Banking,Success
12,UPI,Success
13,Credit Card,Success
14,Debit Card,Success
15,Debit Card,Success
16,COD,Failed
17,COD,Success
18,Credit Card,Success
19,Debit Card,Success
20,Debit Card,Failed
21,COD,Success
22,Net Banking,Success
23,Net Banking,Success
24,UPI,Success
25,Credit Card,Success
26,Net Banking,Success
27,Debit Card,Success
28,UPI,Success
29,UPI,Success
30,Credit Card,Success
31,Credit Card,Success
32,COD,Success
33,Credit Card,Success
34,Net Banking,Success
35,Debit Card,Success
36,Credit Card,Success
37,Debit Card,Success
38,Net Banking,Failed
39,Credit Card,Success
40,Debit Card,Success
41,Net Banking,Failed
42,Debit Card,Failed
43,COD,Success
44,COD,Success
45,Debit Card,Success
46,Net Banking,Success
47,Credit Card,Success
48,Net Banking,Success
49,Net Banking,Success
50,Net Banking,Success
51,Credit Card,Success
52,Net Banking,Success
53,Credit Card,Success
54,Net Banking,Success
55,Credit Card,Success
56,Credit Card,Success
57,UPI,Success
58,UPI,Success
59,COD,Success
60,Credit Card,Success
61,UPI,Success
62,UPI,Failed
63,COD,Success
64,Credit Card,Success
65,UPI,Success
66,UPI,Success
67,Debit Card,Success
68,COD,Success
69,Debit Card,Success
70,Credit Card,Success
71,UPI,Success
72,Debit Card,Success
73,Debit Card,Refunded
74,Net Banking,Failed
75,Credit Card,Success
76,Debit Card,Success
77,Credit Card,Refunded
78,COD,Success
79,Credit Card,Success
80,Net Banking,Success
81,COD,Success
82,Credit Card,Success
83,COD,Success
84,Debit Card,Success
85,UPI,Success
86,Net Banking,Success
87,Debit Card,Success
88,Net Banking,Success
89,COD,Success
90,Credit Card,Success
91,COD,Refunded
92,Debit Card,Success
93,Debit Card,Success
94,Credit Card,Success
95,Debit Card,Refunded
96,Debit Card,Success
97,Net Banking,Success
98,UPI,Success
99,Credit Card,Success
100,Net Banking,Success
101,Debit Card,Success
102,Debit Card,Success
103,COD,Success
104,COD,Success
105,COD,Success
106,Net Banking,Success
107,Debit Card,Success
108,Credit Card,Refunded
109,UPI,Success
110,Debit Card,Success
111,COD,Success
112,COD,Success
113,UPI,Success
114,Net Banking,Success
115,Net Banking,Success
116,UPI,Failed
117,UPI,Success
118,UPI,Success
119,Credit Card,Failed
120,Net Banking,Success
121,UPI,Success
122,COD,Success
123,UPI,Success
124,Net Banking,Success
125,COD,Refunded
126,Credit Card,Success
127,COD,Success
128,Debit Card,Success
129,Credit Card,Success
130,COD,Success
131,Net Banking,Success
132,COD,Success
133,UPI,Success
134,COD,Success
135,UPI,Success
136,UPI,Success
137,Net Banking,Success
138,Debit Card,Success
139,Credit Card,Success
140,Net Banking,Success
141,Net Banking,Success
142,UPI,Success
143,COD,Success
144,UPI,Success
145,COD,Refunded
146,Net Banking,Success
147,COD,Success
148,Debit Card,Failed
149,UPI,Success
150,Net Banking,Success
151,COD,Success
152,COD,Success
153,Net Banking,Success
154,Net Banking,Success
155,COD,Success
156,COD,Success
157,UPI,Refunded
158,Net Banking,Failed
159,UPI,Success
160,Credit Card,Success
161,COD,Success
162,UPI,Success
163,Net Banking,Success
164,UPI,Success
165,Credit Card,Success
166,Net Banking,Success
167,Credit Card,Success
168,Net Banking,Success
169,Credit Card,Success
170,Net Banking,Success
171,UPI,Success
172,Debit Card,Success
173,Credit Card,Success
174,Debit Card,Success
175,COD,Success
176,Net Banking,Success
177,Debit Card,Failed
178,Debit Card,Success
179,Credit Card,Success
180,COD,Success
181,COD,Success
182,Debit Card,Success
183,UPI,Success
184,COD,Success
185,UPI,Success
186,Debit Card,Refunded
187,COD,Success
188,Debit Card,Success
189,UPI,Success
190,COD,Success
191,Credit Card,Success
192,Credit Card,Success
193,Net Banking,Success
194,Net Banking,Success
195,Net Banking,Success
196,Net Banking,Failed
197,UPI,Success
198,UPI,Success
199,UPI,Success
200,UPI,Success
201,Net Banking,Success
202,Net Banking,Success
203,COD,Success
204,COD,Success
205,Credit Card,Success
206,COD,Success
207,COD,Failed
208,COD,Success
209,Net Banking,Success
210,Credit Card,Success
211,Debit Card,Success
212,Net Banking,Success
213,Debit Card,Success
214,Debit Card,Success
215,COD,Success
216,UPI,Success
217,COD,Success
218,COD,Success
219,Debit Card,Success
220,UPI,Success
221,COD,Failed
222,Net Banking,Success
223,COD,Success
224,Credit Card,Success
225,UPI,Success
226,COD,Success
227,UPI,Success
228,COD,Success
229,COD,Success
230,Credit Card,Success
231,Net Banking,Success
232,Credit Card,Success
233,UPI,Success
234,COD,Success
235,UPI,Success
236,UPI,Success
237,Net Banking,Success
238,Debit Card,Success
239,Debit Card,Success
240,UPI,Success
241,COD,Refunded
242,COD,Success
243,Debit Card,Success
244,Net Banking,Success
245,Credit Card,Success
246,Debit Card,Success
247,Debit Card,Success
248,Debit Card,Success
249,Debit Card,Success
250,Credit Card,Success
251,UPI,Success
252,Debit Card,Success
253,COD,Success
254,Debit Card,Success
255,Debit Card,Failed
256,Debit Card,Success
257,Net Banking,Success
258,Credit Card,Success
259,COD,Success
260,Credit Card,Success
261,Net Banking,Success
262,UPI,Success
263,Credit Card,Success
264,UPI,Success
265,Credit Card,Success
266,COD,Success
267,COD,Success
268,Credit Card,Success
269,COD,Success
270,Debit Card,Failed
271,Debit Card,Success
272,Debit Card,Success
273,Credit Card,Success
274,Net Banking,Success
275,Credit Card,Success
276,Credit Card,Success
277,Net Banking,Success
278,Credit Card,Success
279,Debit Card,Success
280,Net Banking,Success
281,Net Banking,Success
282,UPI,Success
283,COD,Success
284,COD,Success
285,UPI,Failed
286,Credit Card,Success
287,Net Banking,Refunded
288,Net Banking,Success
289,Credit Card,Success
290,Credit Card,Success
291,COD,Success
292,Debit Card,Success
293,Debit Card,Success
294,Debit Card,Success
295,Net Banking,Failed
296,Net Banking,Success
297,Debit Card,Success
298,Credit Card,Success
299,Credit Card,Success
300,Net Banking,Success
301,Debit Card,Success
302,COD,Success
303,Net Banking,Success
304,COD,Success
305,Credit Card,Success
306,Net Banking,Refunded
307,Credit Card,Success
308,Net Banking,Success
309,Net Banking,Success
310,Credit Card,Success
311,UPI,Success
312,Credit Card,Success
313,Net Banking,Success
314,COD,Success
315,Debit Card,Success
316,Net Banking,Success
317,COD,Success
318,Debit Card,Success
319,Net Banking,Failed
320,COD,Success
321,COD,Success
322,Credit Card,Success
323,COD,Refunded
324,Credit Card,Success
325,Net Banking,Success
326,Debit Card,Success
327,Credit Card,Success
328,COD,Refunded
329,COD,Success
330,UPI,Success
331,UPI,Success
332,UPI,Success
333,COD,Success
334,Net Banking,Success
335,COD,Success
336,Credit Card,Success
337,COD,Failed
338,Debit Card,Success
339,Net Banking,Success
340,Credit Card,Success
341,UPI,Success
342,Net Banking,Success
343,COD,Success
344,Credit Card,Success
345,UPI,Failed
346,Credit Card,Success
347,COD,Success
348,Credit Card,Success
349,COD,Success
350,COD,Success
351,Net Banking,Success
352,UPI,Success
353,Net Banking,Success
354,UPI,Success
355,Credit Card,Success
356,COD,Success
357,Debit Card,Success
358,COD,Success
359,COD,Success
360,Net Banking,Success
361,Net Banking,Success
362,Debit Card,Success
363,Net Banking,Success
364,Debit Card,Success
365,UPI,Success
366,UPI,Success
367,Debit Card,Success
368,COD,Success
369,Debit Card,Success
